Hostel_ID,Hostel_Name,Address,Room_Number,Room_Type,Capacity
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",1,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",2,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",3,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",4,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",5,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",6,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",7,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",8,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",9,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",10,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",11,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",12,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",13,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",14,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",15,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",16,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",17,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",18,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",19,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",20,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",21,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",22,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",23,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",24,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",25,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",26,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",27,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",28,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",29,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",30,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",31,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",32,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",33,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",34,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",35,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",36,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",37,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",38,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",39,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",40,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",41,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",42,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",43,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",44,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",45,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",46,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",47,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",48,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",49,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",50,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",51,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",52,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",53,Блок (2 комнаты),5
1,Общежитие №1,"Москва, ул. Б. Переяславская, д. 50, стр.1",54,Блок (2 комнаты),5
